header_id,occures_in
C1_facs_1_region_1699100518519_15,C1_facs_28_tr_1700316455
C1_facs_1_region_1699100518519_15,C1_facs_190_tr_1700431426
C1_facs_9_region_1699103076614_152,C1_facs_168_tr_1700430099
C1_facs_9_region_1699103076614_152,C1_facs_290_region_1700295335048_37
C1_facs_9_region_1699103076614_152,C1_facs_333_tr_1700431829
C1_facs_9_region_1699103076614_152,C1_facs_457_tr_1700432521
C1_facs_9_region_1699103076614_152,C2_facs_119_tr_1700919748
C1_facs_9_region_1699103076614_152,C2_facs_206_tr_1700921655
C1_facs_9_region_1699103076614_152,C2_facs_270_tr_1700921198
C1_facs_15_region_1699464313262_333,C1_facs_16_region_1699464434661_386
C1_facs_15_region_1699464313262_333,C1_facs_181_tr_1701613237
C1_facs_15_region_1699464313262_333,C2_facs_122_tr_1700920036
C1_facs_15_region_1699464313262_333,C2_facs_289_tr_1700921017
C1_facs_18_region_1700257587215_795,C1_facs_15_region_1699464313262_333
C1_facs_18_region_1700257587215_795,C1_facs_16_region_1699464441206_392
C1_facs_18_region_1700257587215_795,C1_facs_16_region_1699464434661_386
C1_facs_18_region_1700257587215_795,C1_facs_17_region_1700257346478_714
C1_facs_18_region_1700257587215_795,C1_facs_19_region_1700257787769_852
C1_facs_18_region_1700257587215_795,C1_facs_19_region_1700257789922_855
C1_facs_18_region_1700257587215_795,C1_facs_20_region_1700258069305_931
C1_facs_18_region_1700257587215_795,C1_facs_39_tr_1700322732
C1_facs_18_region_1700257587215_795,C1_facs_162_tr_1700430739
C1_facs_18_region_1700257587215_795,C1_facs_175_tr_1700431035
C1_facs_18_region_1700257587215_795,C1_facs_353_tr_1700429353
C1_facs_18_region_1700257587215_795,C1_facs_481_tr_1700431688
C1_facs_18_region_1700257587215_795,C1_facs_488_tr_1700429692
C1_facs_18_region_1700257587215_795,C1_facs_498_tr_1700430521
C1_facs_18_region_1700257587215_795,C2_facs_10_tr_1700920056
C1_facs_18_region_1700257587215_795,C2_facs_25_tr_1700918960
C1_facs_18_region_1700257587215_795,C2_facs_60_tr_1700918923
C1_facs_18_region_1700257587215_795,C2_facs_101_tr_1700920260
C1_facs_18_region_1700257587215_795,C2_facs_139_tr_1700921251
C1_facs_18_region_1700257587215_795,C2_facs_224_tr_1700919522
C1_facs_18_region_1700257587215_795,C2_facs_351_tr_1700921168
C1_facs_18_region_1700257646198_810,C1_facs_15_region_1699464313262_333
C1_facs_18_region_1700257646198_810,C1_facs_16_region_1699464441206_392
C1_facs_18_region_1700257646198_810,C1_facs_16_region_1699464434661_386
C1_facs_18_region_1700257646198_810,C1_facs_17_region_1700257346478_714
C1_facs_18_region_1700257646198_810,C1_facs_18_region_1700257587215_795
C1_facs_18_region_1700257646198_810,C1_facs_19_region_1700257787769_852
C1_facs_18_region_1700257646198_810,C1_facs_19_region_1700257789922_855
C1_facs_18_region_1700257646198_810,C1_facs_20_region_1700258069305_931
C1_facs_18_region_1700257646198_810,C1_facs_39_tr_1700322732
C1_facs_18_region_1700257646198_810,C1_facs_162_tr_1700430739
C1_facs_18_region_1700257646198_810,C1_facs_175_tr_1700431035
C1_facs_18_region_1700257646198_810,C1_facs_353_tr_1700429353
C1_facs_18_region_1700257646198_810,C1_facs_481_tr_1700431688
C1_facs_18_region_1700257646198_810,C1_facs_488_tr_1700429692
C1_facs_18_region_1700257646198_810,C1_facs_498_tr_1700430521
C1_facs_18_region_1700257646198_810,C2_facs_10_tr_1700920056
C1_facs_18_region_1700257646198_810,C2_facs_25_tr_1700918960
C1_facs_18_region_1700257646198_810,C2_facs_60_tr_1700918923
C1_facs_18_region_1700257646198_810,C2_facs_101_tr_1700920260
C1_facs_18_region_1700257646198_810,C2_facs_139_tr_1700921251
C1_facs_18_region_1700257646198_810,C2_facs_224_tr_1700919522
C1_facs_18_region_1700257646198_810,C2_facs_351_tr_1700921168
C1_facs_19_region_1700257789922_855,C1_facs_15_region_1699464313262_333
C1_facs_19_region_1700257789922_855,C1_facs_16_region_1699464441206_392
C1_facs_19_region_1700257789922_855,C1_facs_16_region_1699464434661_386
C1_facs_19_region_1700257789922_855,C1_facs_17_region_1700257346478_714
C1_facs_19_region_1700257789922_855,C1_facs_18_region_1700257587215_795
C1_facs_19_region_1700257789922_855,C1_facs_19_region_1700257787769_852
C1_facs_19_region_1700257789922_855,C1_facs_20_region_1700258069305_931
C1_facs_19_region_1700257789922_855,C1_facs_39_tr_1700322732
C1_facs_19_region_1700257789922_855,C1_facs_162_tr_1700430739
C1_facs_19_region_1700257789922_855,C1_facs_175_tr_1700431035
C1_facs_19_region_1700257789922_855,C1_facs_353_tr_1700429353
C1_facs_19_region_1700257789922_855,C1_facs_481_tr_1700431688
C1_facs_19_region_1700257789922_855,C1_facs_488_tr_1700429692
C1_facs_19_region_1700257789922_855,C1_facs_498_tr_1700430521
C1_facs_19_region_1700257789922_855,C2_facs_10_tr_1700920056
C1_facs_19_region_1700257789922_855,C2_facs_25_tr_1700918960
C1_facs_19_region_1700257789922_855,C2_facs_60_tr_1700918923
C1_facs_19_region_1700257789922_855,C2_facs_101_tr_1700920260
C1_facs_19_region_1700257789922_855,C2_facs_139_tr_1700921251
C1_facs_19_region_1700257789922_855,C2_facs_224_tr_1700919522
C1_facs_19_region_1700257789922_855,C2_facs_351_tr_1700921168
C1_facs_29_tr_1700316530,C1_facs_70_tr_1700383940
C1_facs_30_tr_1700316549,C1_facs_293_tr_1700322596
C1_facs_34_tr_1700316592,C1_facs_36_tr_1700316546
C1_facs_34_tr_1700316592,C1_facs_376_tr_1700431225
C1_facs_34_tr_1700316592,C2_facs_152_tr_1700919139
C1_facs_36_tr_1700316546,C1_facs_59_tr_1700383864
C1_facs_36_tr_1700316546,C1_facs_62_tr_1700383931
C1_facs_36_tr_1700316546,C1_facs_79_tr_1700431237
C1_facs_36_tr_1700316546,C1_facs_86_tr_1700429459
C1_facs_36_tr_1700316546,C1_facs_202_tr_1700385687
C1_facs_36_tr_1700316546,C1_facs_207_tr_1700385666
C1_facs_36_tr_1700316546,C1_facs_328_tr_1700431385
C1_facs_36_tr_1700316546,C1_facs_376_tr_1700431225
C1_facs_36_tr_1700316546,C1_facs_525_tr_1700429333
C1_facs_36_tr_1700316546,C2_facs_69_tr_1700920081
C1_facs_36_tr_1700316546,C2_facs_161_tr_1700921708
C1_facs_36_tr_1700316546,C2_facs_189_tr_1700921605
C1_facs_43_tr_1700322644,C1_facs_44_tr_1700322577
C1_facs_43_tr_1700322644,C1_facs_100_tr_1700431621
C1_facs_43_tr_1700322644,C1_facs_513_tr_1700429828
C1_facs_46_tr_1700322553,C1_facs_23_tr_1700316564
C1_facs_46_tr_1700322553,C1_facs_40_tr_1700322718
C1_facs_46_tr_1700322553,C1_facs_110_tr_1700429690
C1_facs_50_tr_1701613298,C2_facs_311_tr_1700920736
C1_facs_50_tr_1701613298,C2_facs_322_tr_1700921446
C1_facs_51_tr_1700383900,C1_facs_265_tr_1700432112
C1_facs_51_tr_1700383900,C1_facs_293_tr_1700322596
C1_facs_51_tr_1700383900,C2_facs_140_tr_1700920796
C1_facs_51_tr_1700383900,C2_facs_251_tr_1700918727
C1_facs_53_tr_1700384031,C2_facs_42_tr_1700919554
C1_facs_53_tr_1700384031,C2_facs_156_tr_1700918813
C1_facs_53_tr_1700384031,C2_facs_197_tr_1700918782
C1_facs_60_tr_1700383919,C1_facs_254_tr_1700429670
C1_facs_66_tr_1700383968,C1_facs_66_tr_1700383969
C1_facs_66_tr_1700383968,C1_facs_190_tr_1700431422
C1_facs_66_tr_1700383968,C2_facs_173_tr_1700921642
C1_facs_66_tr_1700383968,C2_facs_390_tr_1700920626
C1_facs_67_tr_1700384075,C1_facs_470_tr_1700430905
C1_facs_74_tr_1700432242,C2_facs_242_tr_1700921456
C1_facs_76_tr_1700432418,C1_facs_24_tr_1700431023
C1_facs_76_tr_1700432418,C1_facs_96_tr_1700430648
C1_facs_76_tr_1700432418,C1_facs_144_tr_1700430119
C1_facs_76_tr_1700432418,C1_facs_341_tr_1700430402
C1_facs_76_tr_1700432418,C1_facs_448_tr_1700429772
