,topic,value,topic_name,header_id,header_eintrag
0,6.0,0.09393567746966025,Entertainment?,C1_facs_1_region_1699100518519_15,A
1,1.0,0.09160731191815996,Buildings,C1_facs_2_region_1699101628768_50,AWOhäufer.
2,6.0,0.05361901279676249,Entertainment?,C1_facs_2_region_1699101668887_62,Abaens.
3,6.0,0.10625519074244714,Entertainment?,C1_facs_3_region_1699102206352_41,"Abensperg= und Traunische (Gräf=
lich=) Fideicommißhäuser."
4,8.0,0.12389334221598776,Suburbia,C1_facs_5_region_1699102766670_47,Abgebrannte Haus (Das
5,7.0,0.10801429027031251,Military? Bastions?,C1_facs_6_region_1699102837851_70,"Abnahme des Mondes und
Sternes vom Stephansthurme
68G."
6,6.0,0.15107166228537355,Entertainment?,C1_facs_7_region_1699102892637_89,Abschnalzer (Der)
7,3.0,0.05297457043922961,Culture / Theater?,C1_facs_8_region_1699102941837_110,Academien.
8,5.0,0.16905702880854143,Suburbia,C1_facs_8_region_1699102952561_113,Achan.
9,6.0,0.08039497514160483,Entertainment?,C1_facs_9_region_1699103076614_152,Acht (Die).
10,6.0,0.1217960195194345,Entertainment?,C1_facs_10_region_1699103130494_171,Acht Fasanen.
11,0.0,0.12553803727780277,Courtly matters,C1_facs_10_region_1699103134623_174,Adalbert von Babenberg.
12,2.0,0.11257452151667083,Culture,C1_facs_11_region_1699103205924_208,"Adamberger (Maria Anna und
Antonie)"
13,9.0,0.28500347004195914,Paintigs (Art),C1_facs_12_region_1699103248754_227,Adam und Eva.
14,6.0,0.059832291965160024,Entertainment?,C1_facs_12_region_1699103251609_230,Adam= und Eva=Spiel.
15,6.0,0.0554112746924684,Entertainment?,C1_facs_12_region_1699103256772_233,Adam und Eva (Zum).
16,3.0,0.040416445742355846,Culture / Theater?,C1_facs_13_region_1699103354038_256,Adeliger Frauen=Verein.
17,3.0,0.043083785953884526,Culture / Theater?,C1_facs_13_region_1699103358639_259,Adeliges Casino.
18,0.0,0.06422243625276328,Courtly matters,C1_facs_13_region_1699103366600_262,Adels=Alters=Kampf.
19,0.0,0.05225849257561783,Courtly matters,C1_facs_14_region_1699464224655_284,"Adelshaufen (Freiherr Pentenrie=
der von)."
20,6.0,0.06427285333808753,Entertainment?,C1_facs_14_region_1699464227048_287,Adel Venedig's (Der).
21,1.0,0.11968654978141091,Buildings,C1_facs_15_region_1699464313262_333,Adlergasse.
22,1.0,0.12448513894874352,Buildings,C1_facs_16_region_1699464441206_392,Adller (Gelber) in der Stadt.
