itemLabel.value,film_id,year,instanceLabel,duration,englishTitle,originalTitle,description,genre,country,language,director,production_company,imdb_id,kinopoisk_id,cast,screenwriter,youtube_id,director_of_photography,composer,wikipedia_url
Cinderella,Q4193714,1979.0,"['animated short film', 'film', 'animated film']",17.0,['Cinderella'],"['Золушка (мультфильм, 1979)']",['1979 film directed by Ivan Aksenchuk'],['cinematic fairy tale'],['Soviet Union'],['Russian'],['Q4059921'],['Soyuzmultfilm'],['tt0222511'],['45399'],,,,['Boris Kotov'],,"['https://en.wikipedia.org/wiki/Cinderella_(1979_film)', 'https://ru.wikipedia.org/wiki/Золушка_(мультфильм,_1979)']"
Исход,Q4205172,1968.0,['film'],,,['Исход'],['1968 film by Anatoly Bobrovsky'],['drama film'],['Soviet Union'],['Russian'],"['Q3161599', 'Q4088836']","['Mosfilm', 'Mongolkino']",['tt0347261'],['42626'],['Q3561885'],['Yulian Semyonov'],['NPaNs2OTkso'],,['Nikolai Sidelnikov'],"['https://ru.wikipedia.org/wiki/Исход_(фильм,_1968)']"
Евгения Гранде,Q4172865,1960.0,['film'],,,['Евгения Гранде'],['1960 film by Sergei Alekseyev'],"['film based on a novel', 'drama film']",['Soviet Union'],['Russian'],['Q4061727'],['Mosfilm'],['tt0142269'],['42028'],"['Q2376266', 'Q2628071', 'Q4261525', 'Q4288757', 'Q4500586']",['Sergei Alekseyev'],['VBGcKYSm9Xk'],,['Vladimir Mikhailovich Yurovsky'],"['https://ru.wikipedia.org/wiki/Евгения_Гранде_(фильм,_1960)']"
An Ideal Husband,Q4197862,1980.0,['film'],93.0,['An Ideal Husband'],['Идеальный муж'],['1980 film by Viktor Georgiyev'],['comedy film'],['Soviet Union'],['Russian'],['Q4135746'],['Mosfilm'],['tt0080912'],['42570'],"['Q68537', 'Q384090', 'Q784509', 'Q3391400']",['Viktor Georgiyev'],['hCayZ7mCwfQ'],['Fyodor Dobronravov'],['Edison Denisov'],"['https://en.wikipedia.org/wiki/An_Ideal_Husband_(1980_film)', 'https://ru.wikipedia.org/wiki/Идеальный_муж_(фильм,_1980)']"
Ladies' Tango,Q4154443,1983.0,['film'],83.0,"[""Ladies' Tango""]",['Дамское танго'],['1983 film directed by Sulambek Mamilov'],['melodrama'],['Soviet Union'],['Russian'],['Q4279919'],['Gorky Film Studio'],['tt0085395'],['44097'],"['Q1196388', 'Q1253150', 'Q4104514', 'Q4125515', 'Q4176044', 'Q4179288', 'Q4233905', 'Q4315626', 'Q4322639', 'Q4399038', 'Q4399399', 'Q4402599', 'Q4421775', 'Q4482226', 'Q4532381', 'Q13218029', 'Q13218037']",,['6nHGGYhQ3eg'],,,"[""https://en.wikipedia.org/wiki/Ladies'_Tango"", 'https://ru.wikipedia.org/wiki/Дамское_танго']"
Twice Born,Q4155621,1983.0,['film'],85.0,['Twice Born'],['Дважды рождённый'],['1983 film by Arkadi Sirenko'],['war film'],['Soviet Union'],['Russian'],['Q21149175'],['Mosfilm'],['tt0252402'],['44344'],"['Q247846', 'Q1072225', 'Q2003255', 'Q4077738', 'Q4095331', 'Q4233834', 'Q4236667', 'Q4296257', 'Q4365380', 'Q4400363']",['Viktor Astafyev'],,['Elizbar Karavayev'],['Edison Denisov'],"['https://en.wikipedia.org/wiki/Twice_Born_(1983_film)', 'https://ru.wikipedia.org/wiki/Дважды_рождённый']"
Даиси,Q4154031,1971.0,['film'],,,['Даиси'],['1971 film directed by Nikoloz Sanishvili'],,['Soviet Union'],['Russian'],['Q4407618'],['Kartuli Pilmi'],['tt0275288'],['44084'],,,,,['Zacharia Paliashvili'],['https://ru.wikipedia.org/wiki/Даиси_(фильм-опера)']
Дамы и гусары,Q4154452,1976.0,['film'],,,['Дамы и гусары'],['1976 film by Anatoliy Nitotsykin'],['comedy film'],['Soviet Union'],['Russian'],['Q4321573'],['Studio Ekran'],['tt6190266'],['592019'],"['Q551254', 'Q784509', 'Q4207699', 'Q4244914', 'Q4347601', 'Q4388950', 'Q4503736', 'Q15129386', 'Q15143736', 'Q16683570']",['Aleksander Fredro'],,,,"['https://ru.wikipedia.org/wiki/Дамы_и_гусары_(фильм,_1976)']"
"Do You Want to Be an Actress, Girl?",Q4156422,1977.0,['film'],82.0,"['Do You Want to Be an Actress, Girl?']","['Девочка, хочешь сниматься в кино?']",['1977 film by Adolf Bergunker'],['drama film'],['Soviet Union'],['Russian'],['Q4084037'],['Lenfilm'],['tt0127513'],['44177'],,['Yuri Yakovlev'],,,['Vladislav Kladnitsky'],"['https://ru.wikipedia.org/wiki/Девочка,_хочешь_сниматься_в_кино?']"
The Demon,Q4157664,1960.0,['film'],63.0,['The Demon'],['Демон'],['1960 opera film'],,['Soviet Union'],['Russian'],,,['tt1679551'],['548902'],['Q1280772'],,,,,['https://ru.wikipedia.org/wiki/Демон_(фильм-опера)']
