film_id,film_name,actor_id,actor_name
Q4127740,All the King's Men,Q1509265,Georgiy Zhzhonov
Q4127740,All the King's Men,Q2631297,Rostislav Plyatt
Q4127740,All the King's Men,Q4097651,Nikolai Bubnov
Q4127740,All the King's Men,Q4503702,Sergey Tseyts
Q4128497,"Vy chyo, starichyo?",Q4242702,Yauhen Kryzhanowski
Q4109464,Spring Selection,Q1657736,Igor Kostolevsky
Q4110177,A Night Before Christmas,Q4387977,Aleksandr Radunsky
Q4128497,"Vy chyo, starichyo?",Q28500281,Mikhail Pakhomenko
Q4127740,All the King's Men,Q4327335,Laimonas Noreika
Q4128469,Entrance to the Labyrinth,Q2655731,Algimantas Masiulis
Q4127714,Counterplan,Q1394208,Vladimir Gardin
Q4128469,Entrance to the Labyrinth,Q4397133,Boris Romanov
Q4110177,A Night Before Christmas,Q1964680,Sergey Martinson
Q4128497,"Vy chyo, starichyo?",Q4389564,Irina Rakshina
Q4127691,Встреча на переправе,Q3918052,Vsevolod Sanayev
Q4127691,Встреча на переправе,Q4281963,Olga Markina
Q4127714,Counterplan,Q2399011,Zoya Fyodorova
Q4110177,A Night Before Christmas,Q4497030,Alexandr Chvylja
Q4127691,Встреча на переправе,Q7233026,Pyotr Lyubeshkin
Q4128516,Выбор,Q4536831,Aleksandr Yakovlev
Q4128977,Ransom,Q15145409,Sergei Priselkov
Q4128469,Entrance to the Labyrinth,Q1680333,Lev Borisov
Q4127714,Counterplan,Q10318000,Vladimir Sladkopevtsev
Q4128469,Entrance to the Labyrinth,Q2785279,Mikk Mikiver
Q4128469,Entrance to the Labyrinth,Q4081363,Boris Bekker
Q4128469,Entrance to the Labyrinth,Q4199507,Kapitolina Illenko
Q4110177,A Night Before Christmas,Q4243575,Anatoly Kubatsky
Q4127714,Counterplan,Q3918292,Pyotr Aleynikov
Q4127714,Counterplan,Q4151584,Yakov Gudkin
Q4128516,Выбор,Q4226982,Aleksandr Koznov
Q4128469,Entrance to the Labyrinth,Q1396888,Mikhail Gluzsky
Q4127714,Counterplan,Q1971562,Andrei Abrikosov
Q4128516,Выбор,Q376335,Mikhail Ulyanov
Q4127714,Counterplan,Q4152332,Tatyana Guretskaya
Q4127767,Всё из-за этой шальной Паулины,Q2082542,Lilita Bērziņa
Q4128469,Entrance to the Labyrinth,Q23712972,Natalya Khorokhorina
Q4110251,Вечный муж,Q457434,Stanislav Lyubshin
Q4127946,The Second Attempt of Viktor Krokhin,Q4094751,Ivan Bortnik
Q4128469,Entrance to the Labyrinth,Q4131637,Sergey Gazarov
Q4127714,Counterplan,Q4454703,Boris Tenin
Q4127946,The Second Attempt of Viktor Krokhin,Q1623429,Oleg Borisov
Q4128516,Выбор,Q4285056,Algis Matulionis
Q4127946,The Second Attempt of Viktor Krokhin,Q68537,Lyudmila Gurchenko
Q4128469,Entrance to the Labyrinth,Q1072225,Yuriy Nazarov
Q4128469,Entrance to the Labyrinth,Q2368070,Leonid Kuravlyov
Q4128469,Entrance to the Labyrinth,Q4144760,Yury Gorobets
Q4128469,Entrance to the Labyrinth,Q4244948,Villor Kuznetsov
Q4110207,The Evening Labyrinth,Q289088,Alexander Lazarev
Q4127946,The Second Attempt of Viktor Krokhin,Q4401622,Nikolay Rybnikov
Q4127714,Counterplan,Q3498416,Stepan Krylov
Q4127714,Counterplan,Q15072920,Nikolay Ivanovich Michurin
Q4127740,All the King's Men,Q1071694,Alla Demidova
Q4127714,Counterplan,Q713014,Nikolay Cherkasov
Q4110207,The Evening Labyrinth,Q2568825,Vladimir Basov
Q4127740,All the King's Men,Q1317231,Tatyana Lavrova
Q4127740,All the King's Men,Q4244975,Yevgeny Kuznetsov
Q4128516,Выбор,Q6678680,Yelena Fadeyeva
Q4127740,All the King's Men,Q4196002,Boris Ivanov
Q4110251,Вечный муж,Q1657736,Igor Kostolevsky
Q4127714,Counterplan,Q4088472,Maria Blumental-Tamarina
Q4127740,All the King's Men,Q469557,Anatoli Papanov
Q4110207,The Evening Labyrinth,Q4346210,Nikolay Parfyonov
Q4128469,Entrance to the Labyrinth,Q539500,Natalya Arinbasarova
Q4128469,Entrance to the Labyrinth,Q1970312,Larisa Udovichenko
Q4127691,Встреча на переправе,Q4276251,Yelena Maksimova
Q4128516,Выбор,Q273150,Natalya Belokhvostikova
Q4127714,Counterplan,Q4374901,Mariya Pototskaya
Q4127740,All the King's Men,Q1344765,Yevgeniy Yevstigneyev
Q4128516,Выбор,Q4155994,Wacław Dworzecki
Q4110207,The Evening Labyrinth,Q4104765,Tatyana Vasileva
Q4127740,All the King's Men,Q2632355,Lev Durov
Q4128469,Entrance to the Labyrinth,Q1657736,Igor Kostolevsky
Q4128469,Entrance to the Labyrinth,Q2067930,Alexander Belyavsky
Q4127740,All the King's Men,Q4520868,Ivan Shatsila
Q4128497,"Vy chyo, starichyo?",Q1680333,Lev Borisov
Q4128497,"Vy chyo, starichyo?",Q15139572,Yelena Melnikova
Q4127740,All the King's Men,Q17427997,Georgy Shevtsov
Q4128469,Entrance to the Labyrinth,Q4155996,Evgeny Dvorzhetsky
